id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
xShootzxx#GOAT,Silver 2,39.3,0.95,124.1,ES,8.2,94,79.7,917,12.1,139,93,15.9,42,"1,362",0.7,Viper,11,21,42.9,1.02,123.2
Epablo#1212,Gold 2,42.9,1.07,138.8,ID,19.3,214,72.4,804,8.4,93,434,15.7,219,"6,603",0.7,Reyna,53,92,47.8,1.05,150.4
NowHiringKittens#BIG D,Diamond 3,57.5,0.95,122.4,AU,25.5,273,69.8,746,4.7,50,755,20.4,405,"11,664",0.7,KAY/O,81,148,54.1,1.1,148.9
Xess#Clean,Gold 1,61.5,0.93,117.9,SA,21.5,138,69,443,9.5,61,324,20.4,160,"4,894",0.8,Reyna,45,81,49.4,1.29,175.2
Oli#4500,Ascendant 3,53.1,1,130.5,HU,23.9,191,68.9,551,7.2,58,700,22.2,376,"11,487",0.8,Jett,130,226,50,1.09,153.8
Chear#3383,Ascendant 2,50,0.9,139.5,DE,22.2,224,74.4,750,3.4,34,"1,594",18.3,788,"25,957",0.8,Raze,717,"1,243",50.8,1.04,170.4
Fantazer#8131,Diamond 1,61.5,0.95,130.5,AM,16.2,183,77.2,874,6.6,75,918,14.8,438,"12,289",0.6,Viper,139,234,47.4,0.89,130
Kyedoo#shoko,Unranked,0,0.75,88.6,VN,22.6,217,69.4,666,8,77,288,15,160,"4,135",0.7,Sage,78,137,51.1,0.71,101.3
Byakya#AIM,Ascendant 1,45.4,0.89,117,US,17.7,186,75,788,7.2,76,389,16.2,196,"5,845",0.7,Sage,37,65,56.9,1.01,132.3
GMB DoJ#69420,Gold 2,50,1.09,170.8,VN,12.6,179,79.3,1123,8.1,114,386,14.5,177,"6,138",0.8,Viper,110,197,50.3,1.17,158.5
よわよわのゆう#WCT,Diamond 3,51.2,1.33,176,JP,22,242,70.9,779,7.1,78,"1,006",19.5,504,"18,075",0.9,Jett,197,323,51.7,1.22,166.4
atomcorp#COZA,Platinum 1,51.2,1,157.2,RU,12.5,234,75.1,1402,12.3,230,434,12,210,"8,128",0.9,Raze,172,290,52.4,1.38,196.4
Tripppy#OCE,Diamond 2,40,0.58,90.2,AU,32.8,183,60.4,337,6.8,38,841,22.2,394,"13,787",0.8,Reyna,292,520,47.1,1.05,156.6
kelow#domi,Silver 3,50.8,1.14,152.3,US,15.7,259,75.9,1256,8.4,139,255,16.4,122,"3,989",0.7,Fade,90,151,45,1.01,143.1
Fornika2r#dontu,Ascendant 2,47.7,1.06,144.6,CL,15.8,195,77.3,956,6.9,85,"1,988",13.6,967,"31,344",0.8,Sova,224,382,53.1,1,142.5
zadiakdeuS#nashe,Diamond 2,51.3,0.99,141.3,None,15.4,160,79.1,820,5.5,57,"1,108",16,549,"16,593",0.7,Chamber,173,293,48.1,0.99,138.5
peachy#0806,Gold 2,52.4,0.92,124.3,ID,15.8,207,77,1009,7.2,95,573,12.8,274,"7,699",0.6,Killjoy,195,330,53.3,0.92,128.4
valazio195#BUMI,Platinum 3,66.7,0.96,119.1,ID,29.4,192,63.7,415,6.9,45,"1,666",16,803,"21,905",0.6,Breach,244,415,46.5,0.88,122.9
MezX#06060,Platinum 1,57.1,1.41,173.2,FR,17.9,235,75.1,984,6.9,91,59,19.5,34,"1,078",0.9,Viper,10,18,44.4,1.28,159
degoreo#nyaw,Bronze 2,50,0.94,124.5,PH,9.3,100,79.1,848,11.6,124,90,12.1,44,948,0.5,Sage,22,38,47.4,0.56,86.8
YAHANU#1308,Bronze 2,33.3,1.1,142.9,ID,14.5,152,70.8,741,14.6,153,50,10.2,24,732,0.7,Chamber,11,19,68.4,1.04,143.8
monkedesgraciao#monke,Silver 3,61.8,1.28,165.3,CL,11.1,217,78.9,1541,9.9,194,101,9.4,52,"1,759",0.8,Neon,23,41,58.5,1.25,161.5
ItsLiu#0001,Bronze 2,63.6,1,147.6,US,18,184,72.9,745,9.1,93,71,16.2,36,"1,074",0.8,Reyna,12,25,44,0.84,139.1
OnYourLeft#十十十,Ascendant 1,61.3,1.12,148.2,US,33.3,285,63.7,546,3,26,"1,902",25.3,931,"29,586",0.7,Chamber,262,466,50.9,1.14,152.5
STRANGe#Tenz,Silver 2,51.4,0.96,140.5,IN,15,185,76.2,941,8.8,109,422,16.1,201,"6,120",0.7,Jett,53,91,49.5,1.02,156.3
rasbarruy#1tap,Gold 3,35.1,1.13,161.8,US,28.2,302,65.4,700,6.4,68,629,26,295,"9,381",0.7,Skye,136,242,52.1,0.97,140.1
wennsdae#phjei,Silver 3,45,0.8,118.7,US,26.7,171,69.2,443,4.1,26,"1,162",22.5,559,"14,655",0.6,Sova,278,468,49.6,0.85,124.7
RainyDevil#TTC,Unranked,55.6,1.26,173.3,CO,16.3,190,76.3,887,7.4,86,169,15.5,88,"2,390",0.7,Sage,50,87,57.5,0.94,122.4
PachecoTvOficial#2578,Diamond 1,53.1,1.15,143.3,BR,20.3,162,72.9,581,6.8,54,"1,469",16.6,716,"19,807",0.7,Killjoy,334,558,50.7,1.05,139.7
Yakult#hello,Iron 3,42.9,1.55,157.5,US,19.4,93,72.4,347,8.1,39,10,19.4,4,120,1,Sage,1,2,50,1.3,166
feraxhp#Yuly,Silver 3,57.9,1.06,124.4,CO,21,176,71.2,598,7.9,66,161,19.3,80,"2,239",0.7,Chamber,38,64,51.6,1.18,144.1
pollo#1205,Unranked,56.5,1.13,160.6,MX,15,72,80.5,387,4.6,22,6,15,3,89,0.7,Neon,2.4,4,50,0.9,167.4
Soupy#1228,Platinum 1,40,0.99,139.2,US,19.1,205,76.8,823,4.1,44,303,15.6,150,"5,415",0.9,Sage,57,99,52.5,1.08,143.1
vye#1only,Diamond 2,47.4,0.87,121.7,RS,40.7,288,54.6,386,4.7,33,"1,368",22.3,697,"19,900",0.7,Reyna,140,243,53.5,1.12,157.8
rei#silly,Silver 1,45.5,0.84,116,US,12,137,73.2,835,14.8,169,194,12,94,"2,159",0.6,Sage,18,37,51.4,0.66,97.3
forsik#bad,Platinum 3,60,1.28,190.7,RU,27.7,318,69,791,3.3,38,490,21.6,240,"10,718",1.1,Reyna,54,92,54.3,1.66,227.3
ValorJett#6108,Silver 3,51.6,0.9,130,US,26.3,230,66.7,582,7,61,375,19.5,190,"5,639",0.7,Reyna,74,137,56.9,1.17,162.9
ttvrevolversmoke#4592,Diamond 1,43.5,1.14,166.7,US,27.3,244,68.2,609,4.5,40,"1,619",23.3,791,"27,230",0.8,Chamber,386,684,48.7,1.11,154.3
Kung Fu Kenny#6449,Immortal 1,51.6,1.13,135.9,DE,24.8,277,71.3,796,3.9,43,"1,128",21.7,565,"18,365",0.8,Omen,76,134,42.5,1.08,135.7
bell#ash,Unranked,0,0,10.1,GI,24.5,254,68.7,713,6.8,71,177,18.8,96,"2,156",0.6,Viper,23,37,45.9,0.81,114
snorlaxxatives#1309,Bronze 2,33.3,0.84,122.7,AU,13,131,74.5,753,12.6,127,150,13.5,73,"1,428",0.5,Viper,40,73,43.8,0.68,111.1
dread#1437,Ascendant 3,50,1.19,155.4,CN,37.1,331,58.6,522,4.3,38,216,30.1,115,"3,877",0.9,Sage,40,70,37.1,1.17,155.5
Exo#IMMO,Diamond 1,38.9,1.07,168.8,HR,30.4,279,65.9,605,3.7,34,203,26.1,84,"3,099",0.7,Jett,27,48,50,1.16,159.5
Joyst1ck#1337,Immortal 3,52.2,1.02,137,RU,15.7,156,76.3,759,8,80,"1,759",17.2,862,"27,691",0.7,Phoenix,363,616,49.4,1.17,150.8
ADIRE Tressort#BELG,Diamond 3,68.1,1.05,150.7,BE,23.5,240,70.1,715,6.4,65,374,18.9,183,"6,267",0.8,Reyna,86,151,49.7,1.15,166.3
Frozen#vlrnt,Diamond 1,55,1.13,146.5,MY,21.8,255,70.1,821,8.2,96,429,21,225,"6,645",0.7,Sage,67,112,57.1,1.13,142.8
ladies sommelie#carry,Platinum 1,52,0.73,106.7,RU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
